"Table S1. List of taxa, locality and voucher information.",,,,,,,,,,,
,,,,,,,,,,,
ID,Species,Museum,Voucher,Tissue Number,Country,Locality,lat,long,Level,Type,NCBI
GNM6270,"Turdus hortulorum P. L. Sclater, 1863",Göteborg Naturhistoriska Museum,GNM6270,,China,Jiangsu,32.18785,119.4258361,INGROUP,ToePads,SAMN12984479
GNM5292,"Turdus iliacus Linnaeus, 1766",Göteborg Naturhistoriska Museum,GNM5292,,Iceland,,66.42830278,-17.33834444,INGROUP,ToePads,SAMN12984480
U3649,"Turdus aurantius  J. F. Gmelin, 1789",American Museum of Natural History,AMNH 819420,163,Jamaica,St. Catherine,18.03920445,-77.05523075,INGROUP,ToePads,SAMN12984481
U3599,"Turdus lherminieri dominicensis (Lawrence, 1880)",American Museum of Natural History,AMNH- SKIN 503684,,West Indies,"Dominica Island, Limbrevre",15.39990416,-61.3596471,INGROUP,ToePads,SAMN12984482
GNM-Av.su 172,"Turdus viscivorus Linnaeus, 1758",Göteborg Naturhistoriska Museum,GNM-Av.su 172,,Sweden,,60.12816111,-18.6435,INGROUP,ToePads,SAMN12984483
GNM-Av.ex 6245,"Turdus pallidus J. F. Gmelin, 1789",Göteborg Naturhistoriska Museum – Exotic Collection.,GNM-Av.ex 6245,,China,Jiangsu,46.25277778,141.2366667,INGROUP,ToePads,SAMN12984484
GNM7449,"Turdus fuscater Lafresnaye and d’Orbigny, 1837",Göteborg Naturhistoriska Museum – Exotic Collection.,GNM-Av.ex 7449,,Ecuador,,-0.377202778,-78.14076389,INGROUP,ToePads,SAMN12984485
GNM8238,"Turdus viscivorus Linnaeus, 1758",Göteborg Naturhistoriska Museum,GNM-Av.su 8238,,Sweden,,60.12816111,-18.6435,INGROUP,ToePads,SAMN12984486
GNM8762,"Turdus iliacus Linnaeus, 1766",Göteborg Naturhistoriska Museum,GNM-Av.su 8762,,Sweden,Västergötland,57.7,12.2,INGROUP,ToePads,SAMN12984487
U1774,"Turdus merula Linnaeus, 1758","Department of Biology and Environmental Science, University of Gothenburg",DZUG 1774,,Tunisia,"Halk el Menzel, Hergla",35.93426944,10.50603611,INGROUP,ToePads,SAMN12984488
GNM10084,"Turdus serranus Tschudi, 1844",Göteborg Naturhistoriska Museum – Exotic Collection.,GNM-Av.ex 10084,,Ecuador,,-1.044330556,-79.82687222,INGROUP,ToePads,SAMN12984489
GNM6136,"Turdus merula cabrerae Hartert, 1901",Göteborg Naturhistoriska Museum – Exotic Collection.,GNM-Av.ex 6136,,Spain,"Canary Is., Tenerife",28.16746667,-16.63571111,INGROUP,ToePads,SAMN12984490
GNM1291,"Turdus ignobilis P. L. Sclater, 1858",Göteborg Naturhistoriska Museum – Exotic Collection.,GNM-Av.ex 1291,,Ecuador,,0.39455,-78.01406389,INGROUP,ToePads,SAMN12984491
GNM5706,"Turdus cardis Temminck, 1831",Göteborg Naturhistoriska Museum – Exotic Collection.,GNM-Av.ex 5706,,Russia,,46.25277778,141.2366667,INGROUP,ToePads,SAMN12984492
GNM11676,"Turdus olivaceus abyssinicus J. F. Gmelin, 1789",Göteborg Naturhistoriska Museum – Exotic Collection.,GNM-Av.ex 11676,,Ethiopia,,9.145,40.48967222,INGROUP,ToePads,SAMN12984493
GNM780,"Turdus iliacus Linnaeus, 1766",Göteborg Naturhistoriska Museum,GNM-Av.su 780,,Sweden,Lappland,68.14096667,26.86811111,INGROUP,ToePads,SAMN12984494
GNM8584,"Turdus naummani Temminck, 1820",Göteborg Naturhistoriska Museum – Exotic Collection.,GNM-Av.ex 8584,,China,,33.00388889,118.7632333,INGROUP,ToePads,SAMN12984495
